year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,paint_color,price
2019.0,2.0,131.0,2.0,2.0,1.0,41828.0,1.0,2.0,2.0,3.0,19900
2007.0,18.0,132.0,0.0,3.0,1.0,136586.0,1.0,2.0,1.0,1.0,4499
2016.0,8.0,133.0,2.0,2.0,1.0,64052.0,1.0,2.0,2.0,4.0,18900
2017.0,7.0,134.0,0.0,0.0,1.0,97000.0,4.0,2.0,3.0,0.0,14500
2020.0,5.0,93.0,2.0,2.0,1.0,20151.0,1.0,2.0,2.0,5.0,18900
2018.0,8.0,135.0,3.0,2.0,1.0,33939.0,1.0,2.0,2.0,5.0,18900
2006.0,23.0,136.0,2.0,0.0,1.0,160000.0,1.0,2.0,0.0,4.0,4980
2008.0,18.0,137.0,0.0,0.0,1.0,187000.0,1.0,2.0,0.0,0.0,4980
2009.0,18.0,138.0,0.0,0.0,1.0,172000.0,1.0,2.0,0.0,0.0,5980
2010.0,16.0,139.0,0.0,0.0,1.0,136000.0,1.0,2.0,0.0,0.0,4980
2005.0,15.0,140.0,0.0,0.0,1.0,158000.0,1.0,2.0,0.0,0.0,6980
2011.0,2.0,141.0,0.0,2.0,1.0,213415.0,1.0,2.0,2.0,5.0,3900
2012.0,9.0,142.0,0.0,2.0,1.0,183489.0,1.0,2.0,2.0,3.0,4750
2007.0,6.0,37.0,1.0,3.0,1.0,98000.0,2.0,3.0,3.0,4.0,15000
1992.0,18.0,143.0,5.0,3.0,1.0,280000.0,5.0,3.0,1.0,5.0,1000
2003.0,1.0,144.0,2.0,1.0,1.0,171140.0,1.0,2.0,0.0,0.0,4950
2004.0,8.0,145.0,0.0,2.0,1.0,149959.0,1.0,2.0,2.0,5.0,3999
2007.0,10.0,146.0,0.0,0.0,1.0,190000.0,1.0,2.0,0.0,0.0,6980
2016.0,5.0,147.0,1.0,3.0,1.0,21066.0,1.0,2.0,0.0,4.0,31990
2020.0,7.0,148.0,1.0,1.0,1.0,4058.0,1.0,2.0,3.0,5.0,35990
2005.0,14.0,149.0,2.0,0.0,1.0,263099.0,1.0,2.0,0.0,0.0,3950
2014.0,3.0,150.0,0.0,2.0,1.0,53352.0,1.0,2.0,0.0,5.0,18990
2013.0,19.0,151.0,2.0,0.0,2.0,74000.0,1.0,2.0,0.0,0.0,9500
